Countries,Years,Number of deaths
Croatia,2018,23
Slovenia,2018,7
Canada,2018,
Nepal,2018,8
Myanmar,2018,61
Mongolia,2018,77
Moldova,2018,120
Netherlands,2018,52
New Zealand,2018,
Serbia,2018,89
Norway,2018,39
Qatar,2018,2
Ukraine,2018,1967
Republic of Korea,2018,369
Romania,2018,292
Russia,2018,7913
Singapore,2018,4
Poland,2018,527
Spain,2018,
Bulgaria,2018,145
Brunei,2018,2
Slovakia,2018,49
Bhutan,2018,4
Belarus,2018,525
Armenia,2018,
Costa Rica,2018,30
Bangladesh,2018,130
Malaysia,2018,
Philippines,2018,326
Sweden,2018,74
USA,2018,3655
Taiwan,2018,173
Lithuania,2018,86
Philippines,2019,
Norway,2019,41
New Zealand,2019,33
Netherlands,2019,22
Myanmar,2019,79
Mongolia,2019,54
Moldova,2019,
Malaysia,2019,
Lithuania,2019,70
Liechtenstein,2019,1
Nepal,2019,
Luxemburg,2019,
Taiwan,2019,
Qatar,2019,
Republic of Korea,2019,284
Romania,2019,
Russia,2019,8559
Serbia,2019,
Singapore,2019,1
Slovakia,2019,45
Slovenia,2019,13
Spain,2019,
Sweden,2019,78
Latvia,2019,76
USA,2019,3704
Poland,2019,508
Kyrgyzstan,2019,
Estonia,2019,43
Kazachstan,2019,323
Argentina,2019,
Armenia,2019,
Bangladesh,2019,
Belarus,2019,489
Bhutan,2019,
Brunei,2019,1
Bulgaria,2019,134
Costa Rica,2019,
Croatia,2019,30
Czech Republic,2019,128
Denmark,2019,49
Ukraine,2019,1909
Kuwait,2019,
Egypt,2019,252
France,2019,261
Germany,2019,
Great Britain,2019,317
Greece,2019,21
Hungary,2019,113
Iceland,2019,
India,2019,10915
Ireland,2019,16
Israel,2019,
Italy,2019,
Japan,2019,1486
Jordan,2019,52
Finland,2019,49
Vietnam,2019,85
