Countries,Years,Number of fires
New Zealand,2016,10314
Spain,2016,122828
India,2016,
Japan,2016,36831
Finland,2016,12063
Malta,2016,1749
Croatia,2016,11143
Vietnam,2016,3006
Bangladesh,2016,16858
Slovenia,2016,
Lithuania,2016,10041
USA,2016,1342000
Armenia,2016,4615
Costa Rica,2016,
Norway,2016,
Peru,2016,12648
Suriname,2016,
Kyrgyzstan,2016,3813
Moldova,2016,1664
Bulgaria,2016,37362
Slovakia,2016,10312
Switzerland,2016,11803
Argentina,2016,65246
Egypt,2016,
Mongolia,2016,3710
Myanmar,2016,1847
Nepal,2016,112
France,2016,285700
Greece,2016,27652
Austria,2016,47559
Qatar,2016,1444
Ukraine,2016,74221
Russia,2016,139500
Andorra,2016,274
Sweden,2016,
Ireland,2016,23922
Tunis,2016,
Senegal,2016,
Serbia,2016,19477
Taiwan,2016,1856
Hungary,2017,25303
India,2017,
Oman,2017,4748
Norway,2017,
France,2017,306600
Mauritius,2017,6940
Great Britain,2017,200056
Ireland,2017,21879
Italy,2017,325941
Israel,2017,46290
Finland,2017,11851
Japan,2017,39773
Luxemburg,2017,
Vietnam,2017,4074
Greece,2017,27793
Kazachstan,2017,14724
Barbados,2017,
Phillippines,2017,14197
Denmark,2017,13107
Sweden,2017,27783
Suriname,2017,
Spain,2017,130985
Germany,2017,203419
Slovenia,2017,
Singapore,2017,3871
Qatar,2017,
Serbia,2017,31331
Russia,2017,132844
Romania,2017,33351
Poland,2017,125892
Taiwan,2017,30464
Switzerland,2017,13437
Czech Republic,2017,16757
Myanmar,2017,1832
Slovakia,2017,8973
Argentina,2017,73769
Malaysia,2017,
Lithuania,2017,9394
Moldova,2017,1609
Belgium,2017,
Mongolia,2017,3536
Nepal,2017,110
Netherlands,2017,72980
Canada,2017,
Latvia,2017,9137
USA,2017,1319500
Kyrgyzstan,2017,
Kuwait,2017,4882
Austria,2017,47951
Bangladesh,2017,18105
Republic of Korea,2017,44178
New Zealand,2017,9095
Andorra,2017,
Belarus,2017,5460
Cyprus,2017,
Liechtenstein,2017,
Estonia,2017,4733
Malasyia,2017,
Tunis,2017,
Senegal,2017,
Jordan,2017,23041
Malta,2017,
Egypt,2017,
Croatia,2017,14507
Costa Rica,2017,19533
Ukraine,2017,84089
Peru,2017,12114
Bulgaria,2017,34373
Armenia,2017,5573
Bhutan,2017,88
Brunei,2017,804
Slovakia,2018,9288
Spain,2018,
Phillippines,2018,16675
New Zealand,2018,18519
Myanmar,2018,1739
Norway,2018,
Taiwan,2018,27922
Russia,2018,144199
Romania,2018,28468
Republic of Korea,2018,42338
Nepal,2018,167
Netherlands,2018,76020
Bulgaria,2018,29448
Barbados,2018,1925
France,2018,305500
Finland,2018,14264
Costa Rica,2018,23862
Ukraine,2018,78602
Belarus,2018,6435
Mongolia,2018,3612
USA,2018,1318500
Singapore,2018,3885
Oman,2018,4602
Canada,2018,
Peru,2018,13729
Switzerland,2018,13178
Estonia,2018,5353
Suriname,2018,
Denmark,2018,15081
Czech Republic,2018,20720
Croatia,2018,9968
Mauritius,2018,6664
Serbia,2018,24635
Sweden,2018,31376
Qatar,2018,1922
India,2018,1600000
Latvia,2018,9134
Greece,2018,24459
Argentina,2018,87853
Andorra,2018,
Liechtenstein,2018,42
Great Britain,2018,204525
Brunei,2018,1249
Germany,2018,248077
Moldova,2018,1650
Malta,2018,
Malaysia,2018,
Luxemburg,2018,1995
Slovenia,2018,4119
Armenia,2018,
Kuwait,2018,3394
Lithuania,2018,11848
Italy,2018,213116
Japan,2018,37981
Bhutan,2018,100
Jordan,2018,24490
Bangladesh,2018,19642
Kyrgyzstan,2018,4808
Tunis,2018,
Senegal,2018,
Poland,2018,149434
Egypt,2018,
Vietnam,2018,4182
Kazachstan,2018,14557
Hungary,2018,19355
Ireland,2018,26534
Israel,2018,49873
Austria,2018,43554
Malta,2019,
Estonia,2019,4675
Andorra,2019,
Argentina,2019,
Armenia,2019,
Barbados,2019,
Bangladesh,2019,
Belarus,2019,6100
Bhutan,2019,
Brunei,2019,2053
Bulgaria,2019,42141
Finland,2019,
Austria,2019,43370
Costa Rica,2019,
Kazachstan,2019,13850
Luxemburg,2019,
Croatia,2019,14980
Great Britain,2019,222511
Greece,2019,27784
India,2019,
Ireland,2019,20756
Israel,2019,50958
Germany,2019,
Italy,2019,252384
Jordan,2019,36650
Kuwait,2019,
Kyrgyzstan,2019,
Latvia,2019,10095
Liechtenstein,2019,49
Lithuania,2019,11509
Japan,2019,37683
Czech Republic,2019,18813
Singapore,2019,2862
Egypt,2019,50662
France,2019,316100
Romania,2019,
Nepal,2019,
Mongolia,2019,4209
Qatar,2019,
Poland,2019,
Phillippines,2019,
Peru,2019,14263
Myanmar,2019,2155
New Zealand,2019,23258
Netherlands,2019,38900
Republic of Korea,2019,40030
Oman,2019,
Taiwan,2019,22866
Denmark,2019,11206
Senegal,2019,3391
Slovakia,2019,9602
Slovenia,2019,
Spain,2019,
Suriname,2019,
Sweden,2019,26445
Switzerland,2019,12935
Moldova,2019,
Ukraine,2019,96812
Tunis,2019,1659
USA,2019,1291500
Russia,2019,471426
Mauritius,2019,
Hungary,2019,20913
Malaysia,2019,
Serbia,2019,
Vietnam,2019,3790
